BMQDV;yCeTE 2;biGQs 4
Susi31;Mengenal candi Borobudur belum lengkap tanpa mengenal cerita relief dengan berbasis sastra, yang akan memberikan edukasi dari nilai - nilai luhur candi borobudur. Cerita relief wayang jataka melalui cerita fabel yang di kemas apik untuk menyampaikan niali kehidupan yang akan memberikan karakter di era global. Bersama SR Persada dan Sekolah Budaya Nittramaya dapat pariwisastra yang berkwalitas serta memberikan edukasi yang tinggi.;Ditulis pada 19 November 2022
droppoin;di atas plataran candi adalah tempat favorit untuk melihat matahari terbit,dengan adanya peraturan terbaru maka trip melihat matahari terbit dari candi sekarang tidak ada;Ditulis pada 8 September 2022
pjrahmat;Walaupun panas namun tidak mengurungkan niat untuk naik sampai puncak. Karena sepanjang jalan menuju puncak ada relief yang menarik.;Ditulis pada 14 Juli 2022
Merahputih transport&tour;Sangat indah sekali saya melihatnya dan diantar oleh transport dr jogja merahputih tour drivernya sangat ramah sopan jangan lupa hub Merahputih tour. +6288216474389;Ditulis pada 25 Juni 2022
Warunghoki88;wisata keagamaan bagi masayarat budha yang ada di indonesia, tempat yang cukup sejuk dengan pemandangan yang sangt indah, merupkan warisan bangsa yang tidak ternilai harganya.;Ditulis pada 21 Juni 2022
Jual Souvenir G;"""Agen Gantungan Kuni Magelang, Agen Gantungan Kunci Snack Magelang, Agen Gantungan Kunci Unik Magelang, Agen Grosir Gantungan Kunci Akrilik Magelang, Agen Grosir Gantungan Kunci Anime Murah Magelang, Agen Grosir Gantungan Kunci Boneka Magelang, Agen Grosir Gantungan Kunci Boneka Murah Magelang, Agen Grosir Gantungan Kunci Gitar Magelang, Agen Grosir Gantungan Kunci Lucu Magelang, Agen Grosir Gantungan Kunci Murah Magelang,Barang ini dikirim dari Magelang JatengUntuk info pemesanan dapat menghubungi :Aura Prariya Anjani0856-5587-3270[call/SMS/WA]""""#AgenGantunganKuniMagelang #AgenGantunganKunciSnackMagelang #AgenGantunganKunciUnikMagelang #AgenGrosirGantunganKunciAkrilikMagelang #AgenGrosirGantunganKunciAnimeMurahMagelang #AgenGrosirGantunganKunciBonekaMagelang #AgenGrosirGantunganKunciBonekaMurahMagelang #AgenGrosirGantunganKunciGitarMagelang #AgenGrosirGantunganKunciLucuMagelang #AgenGrosirGantunganKunciMurahMagelang""";Ditulis pada 6 Mei 2021
Wiwit123;Saya berlibur ke Jogja selama seminggu Dan Salah satu wisata tujuan Saya ITU borobudur. Keren banget disini. Seluruh fasilitas sangat baik. Keren banget deh pokoknya.;Ditulis pada 19 Februari 2021
jarot;Pada saat wisata ke Magelang, saya mengujungi Candi Borobudor . Walaupun cuaca sangat Panas.  Saya sangat mengaggumi peninggalan sejarah tersebut, dissana juga banyak relief jaman dahulu. Disana kita dapat berwisata sambil belajar tentang sejarah candi borobudur..;Ditulis pada 15 Desember 2020
Lim F;peninggalan sejarah yang sudah berumur 1200 tahun di Indonesia, sebagai bangsa Indonesia harus tahu dan bangga, kunjungan ke Borobudur dimasa new normal ini tentu tidak maksimal tapi tidak mengurangi makna kunjungan kita karena kemegahan Borobudur, kita hanya boleh sampai di pekarangan/taman komplek candi, kalau mau masuk ke pelataran harus pakai pemandu dan kita bayar Rp100.000,- per group maksimal 20 orang tapi kita tidak boleh naik ke candi, untuk masuk ke pelataran kita antri karena yang boleh masuk ke pelataran dibatasi 140 orang, kita menunggu yang keluar baru boleh masuk rombongan baru, saya sudah ber kali2 ke Borobudur tapi kekaguman saya terhadap Borobudur tidak berkurang dan selalu ingin tahu hal2 baru tentang Borobudur, harus pergi;Ditulis pada 22 Agustus 2020
MeirinaFam;Pertama kali bepergian selama masa pandemi. Candi Borobudur benar2 melakukan protokol kesehatan dengan maksimal sehingga membuat kami semua nyaman. Dari berlapis2 pemeriksaan maupun cuci tangan, dan adanya pembatasan pengunjung untuk menambah kenyamanan saat phisical distancing. Pelayanan ramah, dan ada beberapa petugas stand by di beberapa titik.;Ditulis pada 15 Juli 2020
;;
Julfri Rivaif Sipayung;Candi Borobudur di Magelang, Yogyakarta adalah salah satu tempat yang sangat rekomendasi untuk dikunjungi di Yogyakarta. This place is quite magnificent, calm and cool. Waktu yang tepat untuk mengunjungi candi ini adalah menjelang sore hari untuk menghindari terik matahari.;Ditulis pada 13 Maret 2020
arthurdolf;Baru pertama kali kesini, pas sih kalau tempat ini termasuk keajaiban dunia. Sulit dibayangkan bagaimana tempat ini dibangun jaman dulu yang jauh dari teknologi sekarang. Warisan leluhur yang patut kita jaga. Harga tiket terlalu mahal. Semoga bisa datang lagi.;Ditulis pada 12 Maret 2020
Zaenab A;candi borobudur, tempat wisata ini sudah terkenal di dunia, sebelum tahun berganti, sy berwisata ke candi borobudur, bahkan banyak turis dan  wisatawan domestik selalu berkunjung ke sini, tempat ini sangat bersih, untuk yg mau wisata ke sini jangan buang sampah sembarang ya, ohiya pemandangan nya juga tidak kalah keren lohh..;Ditulis pada 26 Februari 2020
Dian Traveler;Wajar menjadi salah satu keajaiban dunia, Candi ini dibangun dengan tingkat teknik tinggi, selain itu pemandangan alam 360 derajat dari area stupa teratas juga indah menakjubkan, perlu fisik yang kuat untuk naik anak tangga terjal, suatu pengalaman tantangan tersendiri..... amazing;Ditulis pada 13 Februari 2020
